# Time in s;Angular velocity in rad/s
3.500000000000000000e+01;9.355018146543113033e+00
3.510000000000000142e+01;7.718588191525292963e+00
3.520000000000000284e+01;6.301249227800618691e+00
3.529999999999999716e+01;5.101892639302096022e+00
3.539999999999999858e+01;4.104790306106012920e+00
3.550000000000000000e+01;3.313351074407674624e+00
3.560000000000000142e+01;2.724041601020294134e+00
3.570000000000000284e+01;2.403272594289443731e+00
3.579999999999999716e+01;2.206201692250679969e+00
3.589999999999999858e+01;2.111896153998781500e+00
3.600000000000000000e+01;2.099423238628535415e+00
3.610000000000000142e+01;2.147850205234711041e+00
3.620000000000000284e+01;2.236244312912099019e+00
3.629999999999999716e+01;2.343672820755475783e+00
3.639999999999999858e+01;2.449202987859624869e+00
3.650000000000000000e+01;2.531902073319336921e+00
3.660000000000000142e+01;2.570837336229384817e+00
3.670000000000000284e+01;2.545076035684541438e+00
3.679999999999999716e+01;2.433685430779593872e+00
