# Time in s;Static pressure in hPa;Temperature in C;Differential pressure voltage as digital value in -
2.504492400000000174e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.508700400000000030e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.512910799999999867e+01;1.010119995117187500e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.517122000000000170e+01;1.010159973144531250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.521331199999999839e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.525540000000000163e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.529750800000000055e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.533960000000000079e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.538169600000000159e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.542379599999999940e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.546588799999999964e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.550797999999999988e+01;1.010130004882812500e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.555008799999999880e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.559218399999999960e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.563429599999999908e+01;1.010119995117187500e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.567638399999999876e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.571848400000000012e+01;1.010210021972656250e+03;2.650000000000000000e+01;1.550000000000000000e+02
2.576058799999999849e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.580267200000000116e+01;1.010150024414062500e+03;2.650000000000000000e+01;1.520000000000000000e+02
2.584476400000000140e+01;1.010159973144531250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.588686399999999921e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.592897200000000169e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.597106799999999893e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.601317999999999842e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.605527199999999866e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.609738000000000113e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.613946800000000081e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.618156400000000161e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.622364400000000018e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.626574400000000153e+01;1.010179992675781250e+03;2.650000000000000000e+01;1.550000000000000000e+02
2.630782800000000066e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.634994000000000014e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.580000000000000000e+02
2.639204799999999906e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.590000000000000000e+02
2.643414399999999986e+01;1.010200012207031250e+03;2.650000000000000000e+01;1.570000000000000000e+02
2.647622799999999899e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.651834799999999959e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.656043599999999927e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.660252399999999895e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.664462800000000087e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.668673599999999979e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.672883200000000059e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.520000000000000000e+02
